"Yt_1"	"Yt_2"	"Dummy.T"	"Dummy.M.Month_1"	"Dummy.M.Month_2"	"Dummy.M.Month_3"	"Dummy.M.Month_4"	"Dummy.M.Month_5"	"Dummy.M.Month_6"	"Dummy.M.Month_7"	"Dummy.M.Month_8"	"Dummy.M.Month_9"	"Dummy.M.Month_10"	"Dummy.M.Month_11"	"Dummy.M.Month_12"	"Dummy.CV.CV_W1"	"Dummy.CV.CV_W2"	"Dummy.CV.CV_W3"	"Dummy.CV.CV_W4"	"Dummy.CV.CV_WB1"	"Dummy.CV.CV_WB2"	"Dummy.CV.CV_WB3"	"Dummy.CV.CV_WB4"
"1"	19,2522064464719	17,5867438334485	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2"	21,9510576424614	19,1766878209974	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"3"	24,4287704359315	24,8459298409128	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4"	23,3469226092316	21,1536055323796	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"5"	21,1292330401432	17,0311006711712	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"6"	15,9742353937286	14,4204774891081	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"7"	10,8090952615941	5,13256007976744	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"8"	8,11502030924294	8,02305167515935	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"9"	6,26549571788143	7,47689599741217	9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"10"	8,03635464199968	13,2852517522538	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"11"	44,7612883586067	44,7676891156973	11	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
"12"	60,5446654824205	58,6805602986037	12	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
"13"	21,7458449477383	15,9591745656124	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"14"	24,5998551907072	24,2599971347055	14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"15"	26,6711420173599	25,6256731253914	15	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16"	23,2193924205267	18,4051037097997	16	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"17"	20,2906235709431	21,254305750376	17	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"18"	15,4356399830108	13,6655450467384	18	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"19"	11,764659478595	10,9724398412603	19	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"20"	8,77490651546582	4,00733995756766	20	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"21"	6,67649188291838	6,7702503334995	21	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"22"	9,36011390898681	7,57067678579429	22	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"23"	68,6214683702187	63,0556936077425	23	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
"24"	40,6450443706532	40,3848176737599	24	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
"25"	23,9067672320475	23,6365567386705	25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"26"	27,6271428390392	31,9911679193617	26	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"27"	29,489322221134	28,0718483371268	27	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"28"	26,8378497821983	27,9202151518038	28	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"29"	23,7211137466511	27,4740303922154	29	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"30"	18,3038188813438	17,8881361965914	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"31"	12,2529633477921	11,3154465437893	31	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"32"	9,52497763219597	4,88580376167888	32	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"33"	7,65287795597621	8,09573451866223	33	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"34"	40,0674691390522	39,2065065926855	34	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
"35"	61,5255620332262	56,3248515772161	35	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
"36"	19,1717395353549	19,1122550547763	36	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"37"	23,6665668288953	26,3845876025234	37	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"38"	26,7771697539966	29,6799577473958	38	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"39"	29,0867548729632	31,4565539335039	39	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"40"	26,9330195715671	30,0451989885472	40	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"41"	23,491113429555	25,4864984813391	41	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"42"	18,5317163286546	24,5312470705825	42	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"43"	13,6112449886662	14,1074777916127	43	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"44"	10,8258503686393	10,0681266343019	44	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"45"	8,75777790909038	3,60346827838718	45	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"46"	44,7480995412461	45,261220658883	46	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
"47"	58,1626509594737	56,6192012769569	47	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
"48"	19,335832110508	15,1300333337559	48	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"49"	23,6973573741431	23,8921412175773	49	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"50"	27,8719268901618	23,6318757058097	50	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"51"	29,9804407529579	29,8293408136049	51	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"52"	28,3980823632242	26,7544155939881	52	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"53"	25,1541694346225	19,4427693996133	53	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"54"	19,9660158733311	20,0609233881948	54	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"55"	15,2275214139933	13,3897605806273	55	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"56"	13,3301913752506	9,01530422893571	56	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"57"	11,3733964808342	9,92429049553442	57	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"58"	69,9127699357095	65,1034779572348	58	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
"59"	39,1990695966829	37,6310401216111	59	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
"60"	20,8292922686957	15,1051459341626	60	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"61"	25,6219027860268	25,7349337919982	61	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"62"	29,779515009109	27,8190121914566	62	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
